Entry,Gene Names,Protein names,protein_symbol
Q02153,GUCY1B1 GUC1B3 GUCSB3 GUCY1B3,Guanylate cyclase soluble subunit beta-1,GUCY1B1
Q02156,PRKCE PKCE,Protein kinase C epsilon type,PRKCE
Q02161,RHD,Blood group Rh,RHD
Q02218,OGDH,2-oxoglutarate dehydrogenase complex component E1,OGDH
Q02223,TNFRSF17 BCM BCMA,Tumor necrosis factor receptor superfamily member 17,TNFRSF17
Q02224,CENPE,Centromere-associated protein E,CENPE
Q02241,KIF23 KNSL5 MKLP1,Kinesin-like protein KIF23,KIF23
Q02246,CNTN2 AXT TAG1 TAX1,Contactin-2,CNTN2
Q02252,ALDH6A1 MMSDH,"Methylmalonate-semialdehyde/malonate-semialdehyde dehydrogenase [acylating], mitochondrial",ALDH6A1
Q02297,NRG1 GGF HGL HRGA NDF SMDF,"Pro-neuregulin-1, membrane-bound isoform",NRG1
Q02318,CYP27A1 CYP27,"Sterol 26-hydroxylase, mitochondrial",CYP27A1
Q02363,ID2 BHLHB26,DNA-binding protein inhibitor ID-2,ID2
Q02383,SEMG2,Semenogelin-2,SEMG2
Q02388,COL7A1,Collagen alpha-1,COL7A1
Q02410,APBA1 MINT1 X11,Amyloid-beta A4 precursor protein-binding family A member 1,APBA1
Q02413,DSG1 CDHF4,Desmoglein-1,DSG1
Q02446,SP4,Transcription factor Sp4,SP4
Q02447,SP3,Transcription factor Sp3,SP3
Q02487,DSC2 CDHF2 DSC3,Desmocollin-2,DSC2
Q02505,MUC3A MUC3,Mucin-3A,MUC3A
Q02535,ID3 1R21 BHLHB25 HEIR1,DNA-binding protein inhibitor ID-3,ID3
Q02539,H1-1 H1F1 HIST1H1A,Histone H1.1,H1-1
Q02543,RPL18A,Large ribosomal subunit protein eL20,RPL18A
Q02548,PAX5,Paired box protein Pax-5,PAX5
Q02556,IRF8 ICSBP1,Interferon regulatory factor 8,IRF8
Q02575,NHLH1 BHLHA35 HEN1,Helix-loop-helix protein 1,NHLH1
Q02577,NHLH2 BHLHA34 HEN2 KIAA0490,Helix-loop-helix protein 2,NHLH2
Q02641,CACNB1 CACNLB1,Voltage-dependent L-type calcium channel subunit beta-1,CACNB1
Q02643,GHRHR,Growth hormone-releasing hormone receptor,GHRHR
Q02742,GCNT1 NACGT2,"Beta-1,3-galactosyl-O-glycosyl-glycoprotein beta-1,6-N-acetylglucosaminyltransferase",GCNT1
Q02747,GUCA2A GUCA2,Guanylin,GUCA2A
Q02750,MAP2K1 MEK1 PRKMK1,Dual specificity mitogen-activated protein kinase kinase 1,MAP2K1
Q02763,TEK TIE2 VMCM VMCM1,Angiopoietin-1 receptor,TEK
Q02779,MAP3K10 MLK2 MST,Mitogen-activated protein kinase kinase kinase 10,MAP3K10
Q02790,FKBP4 FKBP52,Peptidyl-prolyl cis-trans isomerase FKBP4,FKBP4
Q02809,PLOD1 LLH PLOD,"Procollagen-lysine,2-oxoglutarate 5-dioxygenase 1",PLOD1
Q02817,MUC2 SMUC,Mucin-2,MUC2
Q02818,NUCB1 NUC,Nucleobindin-1,NUCB1
Q02833,RASSF7 C11orf13 HRC1,Ras association domain-containing protein 7,RASSF7
Q02846,GUCY2D CORD6 GUC1A4 GUC2D RETGC RETGC1,Retinal guanylyl cyclase 1,GUCY2D
Q02878,RPL6 TXREB1,Large ribosomal subunit protein eL6,RPL6
Q02880,TOP2B,DNA topoisomerase 2-beta,TOP2B
Q02928,CYP4A11 CYP4A2,Cytochrome P450 4A11,CYP4A11
Q02930,CREB5 CREBPA,Cyclic AMP-responsive element-binding protein 5,CREB5
Q02952,AKAP12 AKAP250,A-kinase anchor protein 12,AKAP12
Q02962,PAX2,Paired box protein Pax-2,PAX2
Q02978,SLC25A11 SLC20A4,Mitochondrial 2-oxoglutarate/malate carrier protein,SLC25A11
Q02985,CFHR3 CFHL3 FHR3,Complement factor H-related protein 3,CFHR3
Q03001,DST BP230 BP240 BPAG1 DMH DT KIAA0728,Dystonin,DST
Q03013,GSTM4,Glutathione S-transferase Mu 4,GSTM4
Q03014,HHEX HEX PRH PRHX,Hematopoietically-expressed homeobox protein HHEX,HHEX
Q03052,POU3F1 OCT6 OTF6,"POU domain, class 3, transcription factor 1",POU3F1
Q03060,CREM,cAMP-responsive element modulator,CREM
Q03111,MLLT1 ENL LTG19 YEATS1,Protein ENL,MLLT1
Q03112,MECOM EVI1 MDS1 PRDM3,Histone-lysine N-methyltransferase MECOM,MECOM
Q03113,GNA12,Guanine nucleotide-binding protein subunit alpha-12,GNA12
Q03135,CAV1 CAV,Caveolin-1,CAV1
Q03154,ACY1,Aminoacylase-1,ACY1
Q03164,KMT2A ALL1 CXXC7 HRX HTRX MLL MLL1 TRX1,Histone-lysine N-methyltransferase 2A,KMT2A
Q03167,TGFBR3,Transforming growth factor beta receptor type 3,TGFBR3
Q03181,PPARD NR1C2 PPARB,Peroxisome proliferator-activated receptor delta,PPARD
Q03188,CENPC CENPC1 ICEN7,Centromere protein C,CENPC
Q03252,LMNB2 LMN2,Lamin-B2,LMNB2
Q03393,PTS,6-pyruvoyl tetrahydrobiopterin synthase,PTS
Q03395,ROM1 TSPAN23,Rod outer segment membrane protein 1,ROM1
Q03403,TFF2 SML1,Trefoil factor 2,TFF2
Q03405,PLAUR MO3 UPAR,Urokinase plasminogen activator surface receptor,PLAUR
Q03426,MVK,Mevalonate kinase,MVK
Q03431,PTH1R PTHR PTHR1,Parathyroid hormone/parathyroid hormone-related peptide receptor,PTH1R
Q03468,ERCC6 CSB,DNA excision repair protein ERCC-6,ERCC6
Q03518,TAP1 ABCB2 PSF1 RING4 Y3,Antigen peptide transporter 1,TAP1
Q03519,TAP2 ABCB3 PSF2 RING11 Y1,Antigen peptide transporter 2,TAP2
Q03591,CFHR1 CFHL CFHL1 CFHL1P CFHR1P FHR1 HFL1 HFL2,Complement factor H-related protein 1,CFHR1
Q03692,COL10A1,Collagen alpha-1,COL10A1
Q03721,KCNC4 C1orf30,Voltage-gated potassium channel KCNC4,KCNC4
Q03923,ZNF85,Zinc finger protein 85,ZNF85
Q03933,HSF2 HSTF2,Heat shock factor protein 2,HSF2
Q03989,ARID5A MRF1,AT-rich interactive domain-containing protein 5A,ARID5A
Q04118,PRB3,Basic salivary proline-rich protein 3,PRB3
Q04206,RELA NFKB3,Transcription factor p65,RELA
Q04323,UBXN1 SAKS1,UBX domain-containing protein 1,UBXN1
Q04446,GBE1,"1,4-alpha-glucan-branching enzyme",GBE1
Q04609,FOLH1 FOLH NAALAD1 PSM PSMA GIG27,Glutamate carboxypeptidase 2,FOLH1
Q04637,EIF4G1 EIF4F EIF4G EIF4GI,Eukaryotic translation initiation factor 4 gamma 1,EIF4G1
Q04656,ATP7A MC1 MNK,Copper-transporting ATPase 1,ATP7A
Q04671,OCA2 D15S12 P,P protein,OCA2
Q04695,KRT17,"Keratin, type I cytoskeletal 17",KRT17
Q04721,NOTCH2,Neurogenic locus notch homolog protein 2,NOTCH2
Q04724,TLE1,Transducin-like enhancer protein 1,TLE1
Q04725,TLE2,Transducin-like enhancer protein 2,TLE2
Q04726,TLE3 KIAA1547,Transducin-like enhancer protein 3,TLE3
Q04727,TLE4 GRG4 KIAA1261,Transducin-like enhancer protein 4,TLE4
Q04741,EMX1,Homeobox protein EMX1,EMX1
Q04743,EMX2,Homeobox protein EMX2,EMX2
Q04756,HGFAC,Hepatocyte growth factor activator,HGFAC
Q04759,PRKCQ PRKCT,Protein kinase C theta type,PRKCQ
Q04760,GLO1,Lactoylglutathione lyase,GLO1
Q04771,ACVR1 ACVRLK2,Activin receptor type-1,ACVR1
Q04828,AKR1C1 DDH DDH1,Aldo-keto reductase family 1 member C1,AKR1C1
Q04837,SSBP1 SSBP,"Single-stranded DNA-binding protein, mitochondrial",SSBP1
Q04844,CHRNE ACHRE,Acetylcholine receptor subunit epsilon,CHRNE
Q04864,REL,Proto-oncogene c-Rel,REL
Q04900,CD164,Sialomucin core protein 24,CD164
Q04912,MST1R PTK8 RON,Macrophage-stimulating protein receptor,MST1R
Q04917,YWHAH YWHA1,14-3-3 protein eta,YWHAH
Q04941,PLP2 A4,Proteolipid protein 2,PLP2
Q05066,SRY TDF,Sex-determining region Y protein,SRY
Q05084,ICA1,Islet cell autoantigen 1,ICA1
Q05086,UBE3A E6AP EPVE6AP HPVE6A,Ubiquitin-protein ligase E3A,UBE3A
Q05193,DNM1 DNM,Dynamin-1,DNM1
Q05195,MXD1 MAD,Max dimerization protein 1,MXD1
Q05209,PTPN12,Tyrosine-protein phosphatase non-receptor type 12,PTPN12
Q05215,EGR4,Early growth response protein 4,EGR4
Q05315,CLC LGALS10 LGALS10A,Galectin-10,CLC
Q05329,GAD2 GAD65,Glutamate decarboxylase 2,GAD2
Q05397,PTK2 FAK FAK1,Focal adhesion kinase 1,PTK2
Q05469,LIPE,Hormone-sensitive lipase,LIPE
Q05481,ZNF91,Zinc finger protein 91,ZNF91
Q05513,PRKCZ PKC2,Protein kinase C zeta type,PRKCZ
Q05516,ZBTB16 PLZF ZNF145,Zinc finger and BTB domain-containing protein 16,ZBTB16
Q05519,SRSF11 SFRS11,Serine/arginine-rich splicing factor 11,SRSF11
Q05586,GRIN1 NMDAR1,"Glutamate receptor ionotropic, NMDA 1",GRIN1
Q05639,EEF1A2 EEF1AL STN,Elongation factor 1-alpha 2,EEF1A2
Q05655,PRKCD PKCD,Protein kinase C delta type,PRKCD
Q05682,CALD1 CAD CDM,Caldesmon,CALD1
Q05707,COL14A1 UND,Collagen alpha-1,COL14A1
Q05823,RNASEL RNS4,2-5A-dependent ribonuclease,RNASEL
Q05901,CHRNB3,Neuronal acetylcholine receptor subunit beta-3,CHRNB3
Q05923,DUSP2 PAC1,Dual specificity protein phosphatase 2,DUSP2
Q05925,EN1,Homeobox protein engrailed-1,EN1
Q05932,FPGS,"Folylpolyglutamate synthase, mitochondrial",FPGS
Q05940,SLC18A2 SVMT VMAT2,Synaptic vesicular amine transporter,SLC18A2
Q05996,ZP2 ZPA,Zona pellucida sperm-binding protein 2,ZP2
Q05BQ5,MBTD1,MBT domain-containing protein 1,MBTD1
Q05D60,DEUP1 CCDC67,Deuterosome assembly protein 1,DEUP1
Q06033,ITIH3,Inter-alpha-trypsin inhibitor heavy chain H3,ITIH3
Q06055,ATP5MC2 ATP5G2 PSEC0033,ATP synthase F,ATP5MC2
Q06124,PTPN11 PTP2C SHPTP2,Tyrosine-protein phosphatase non-receptor type 11,PTPN11
Q06136,KDSR FVT1 SDR35C1,3-ketodihydrosphingosine reductase,KDSR
Q06141,REG3A HIP PAP PAP1,Regenerating islet-derived protein 3-alpha,REG3A
Q06187,BTK AGMX1 ATK BPK,Tyrosine-protein kinase BTK,BTK
Q06190,PPP2R3A PPP2R3,Serine/threonine-protein phosphatase 2A regulatory subunit B'' subunit alpha,PPP2R3A
Q06210,GFPT1 GFAT GFPT,Glutamine--fructose-6-phosphate aminotransferase [isomerizing] 1,GFPT1
Q06265,EXOSC9 PMSCL1,Exosome complex component RRP45,EXOSC9
Q06278,AOX1 AO,Aldehyde oxidase,AOX1
Q06323,PSME1 IFI5111,Proteasome activator complex subunit 1,PSME1
Q06330,RBPJ IGKJRB IGKJRB1 RBPJK RBPSUH,Recombining binding protein suppressor of hairless,RBPJ
Q06413,MEF2C,Myocyte-specific enhancer factor 2C,MEF2C
Q06416,POU5F1B OCT4PG1 OTF3C OTF3P1 POU5F1P1 POU5FLC20 POU5FLC8,"Putative POU domain, class 5, transcription factor 1B",POU5F1B
Q06418,TYRO3 BYK DTK RSE SKY TIF,Tyrosine-protein kinase receptor TYRO3,TYRO3
Q06432,CACNG1 CACNLG,Voltage-dependent calcium channel gamma-1 subunit,CACNG1
Q06455,RUNX1T1 AML1T1 CBFA2T1 CDR ETO MTG8 ZMYND2,Protein CBFA2T1,RUNX1T1
Q06481,APLP2 APPL2,Amyloid beta precursor like protein 2,APLP2
Q06495,SLC34A1 NPT2 SLC17A2,Sodium-dependent phosphate transport protein 2A,SLC34A1
Q06520,SULT2A1 HST STD,Sulfotransferase 2A1,SULT2A1
Q06546,GABPA E4TF1A,GA-binding protein alpha chain,GABPA
Q06547,GABPB1 E4TF1B GABPB GABPB2,GA-binding protein subunit beta-1,GABPB1
Q06587,RING1 RING1A RNF1,E3 ubiquitin-protein ligase RING1,RING1
Q06609,RAD51 RAD51A RECA,DNA repair protein RAD51 homolog 1,RAD51
Q06643,LTB TNFC TNFSF3,Lymphotoxin-beta,LTB
Q06710,PAX8,Paired box protein Pax-8,PAX8
Q06730,ZNF33A KIAA0065 KOX31 ZNF11 ZNF11A ZNF33,Zinc finger protein 33A,ZNF33A
Q06787,FMR1,Fragile X messenger ribonucleoprotein 1,FMR1
Q06828,FMOD FM SLRR2E,Fibromodulin,FMOD
Q06830,PRDX1 PAGA PAGB TDPX2,Peroxiredoxin-1,PRDX1
Q06889,EGR3 PILOT,Early growth response protein 3,EGR3
Q06945,SOX4,Transcription factor SOX-4,SOX4
Q07001,CHRND ACHRD,Acetylcholine receptor subunit delta,CHRND
Q07002,CDK18 PCTAIRE3 PCTK3,Cyclin-dependent kinase 18,CDK18
Q07011,TNFRSF9 CD137 ILA,Tumor necrosis factor receptor superfamily member 9,TNFRSF9
Q07020,RPL18,Large ribosomal subunit protein eL18,RPL18
Q07021,C1QBP GC1QBP HABP1 SF2P32,"Complement component 1 Q subcomponent-binding protein, mitochondrial",C1QBP
Q07065,CKAP4,Cytoskeleton-associated protein 4,CKAP4
Q07075,ENPEP,Glutamyl aminopeptidase,ENPEP
Q07092,COL16A1 FP1572,Collagen alpha-1,COL16A1
Q07108,CD69 CLEC2C,Early activation antigen CD69,CD69
Q07157,TJP1 ZO1,Tight junction protein ZO-1,TJP1
Q07283,TCHH THH THL TRHY,Trichohyalin,TCHH
Q07325,CXCL9 CMK MIG SCYB9,C-X-C motif chemokine 9,CXCL9
Q07326,PIGF,Phosphatidylinositol-glycan biosynthesis class F protein,PIGF
Q07343,PDE4B DPDE4,"3',5'-cyclic-AMP phosphodiesterase 4B",PDE4B
Q07352,ZFP36L1 BERG36 BRF1 ERF1 RNF162B TIS11B,mRNA decay activator protein ZFP36L1,ZFP36L1
Q07444,KLRC3 NKG2E,NKG2-E type II integral membrane protein,KLRC3
Q07617,SPAG1,Sperm-associated antigen 1,SPAG1
Q07627,KRTAP1-1 B2A KAP1.1 KAP1.6 KAP1.7 KRTAP1.1,Keratin-associated protein 1-1,KRTAP1-1
Q07654,TFF3 ITF TFI,Trefoil factor 3,TFF3
Q07666,KHDRBS1 SAM68,"KH domain-containing, RNA-binding, signal transduction-associated protein 1",KHDRBS1
Q07687,DLX2,Homeobox protein DLX-2,DLX2
Q07699,SCN1B,Sodium channel subunit beta-1,SCN1B
Q07812,BAX BCL2L4,Apoptosis regulator BAX,BAX
Q07817,BCL2L1 BCL2L BCLX,Bcl-2-like protein 1,BCL2L1
Q07820,MCL1 BCL2L3,Induced myeloid leukemia cell differentiation protein Mcl-1,MCL1
Q07837,SLC3A1 NBAT,Amino acid transporter heavy chain SLC3A1,SLC3A1
Q07864,POLE POLE1,DNA polymerase epsilon catalytic subunit A,POLE
Q07866,KLC1 KLC KNS2,Kinesin light chain 1,KLC1
Q07869,PPARA NR1C1 PPAR,Peroxisome proliferator-activated receptor alpha,PPARA
Q07889,SOS1,Son of sevenless homolog 1,SOS1
Q07890,SOS2,Son of sevenless homolog 2,SOS2
Q07912,TNK2 ACK1,Activated CDC42 kinase 1,TNK2
Q07954,LRP1 A2MR APR,Prolow-density lipoprotein receptor-related protein 1,LRP1
Q07955,SRSF1 ASF SF2 SF2P33 SFRS1 OK/SW-cl.3,Serine/arginine-rich splicing factor 1,SRSF1
Q07960,ARHGAP1 CDC42GAP RHOGAP1,Rho GTPase-activating protein 1,ARHGAP1
Q07973,CYP24A1 CYP24,"1,25-dihydroxyvitamin D",CYP24A1
Q08043,ACTN3,Alpha-actinin-3,ACTN3
Q08050,FOXM1 FKHL16 HFH11 MPP2 WIN,Forkhead box protein M1,FOXM1
Q08116,RGS1 1R20 BL34 IER1,Regulator of G-protein signaling 1,RGS1
Q08117,TLE5 AES GRG GRG5,TLE family member 5,TLE5
Q08170,SRSF4 SFRS4 SRP75,Serine/arginine-rich splicing factor 4,SRSF4
Q08174,PCDH1,Protocadherin-1,PCDH1
Q08188,TGM3,Protein-glutamine gamma-glutamyltransferase E,TGM3
Q08209,PPP3CA CALNA CNA,Protein phosphatase 3 catalytic subunit alpha,PPP3CA
Q08211,DHX9 DDX9 LKP NDH2,ATP-dependent RNA helicase A,DHX9
Q08257,CRYZ,Quinone oxidoreductase,CRYZ
Q08289,CACNB2 CACNLB2 MYSB,Voltage-dependent L-type calcium channel subunit beta-2,CACNB2
Q08334,IL10RB CRFB4 D21S58 D21S66,Interleukin-10 receptor subunit beta,IL10RB
Q08345,DDR1 CAK EDDR1 NEP NTRK4 PTK3A RTK6 TRKE,Epithelial discoidin domain-containing receptor 1,DDR1
Q08357,SLC20A2 GLVR2 PIT2,Sodium-dependent phosphate transporter 2,SLC20A2
Q08378,GOLGA3,Golgin subfamily A member 3,GOLGA3
Q08379,GOLGA2,Golgin subfamily A member 2,GOLGA2
Q08380,LGALS3BP M2BP,Galectin-3-binding protein,LGALS3BP
Q08397,LOXL1 LOXL,Lysyl oxidase homolog 1,LOXL1
Q08426,EHHADH ECHD,Peroxisomal bifunctional enzyme,EHHADH
Q08431,MFGE8,Lactadherin,MFGE8
Q08462,ADCY2 KIAA1060,Adenylate cyclase type 2,ADCY2
Q08477,CYP4F3 LTB4H,Cytochrome P450 4F3,CYP4F3
Q08493,PDE4C DPDE1,"3',5'-cyclic-AMP phosphodiesterase 4C",PDE4C
Q08495,DMTN DMT EPB49,Dematin,DMTN
Q08499,PDE4D DPDE3,"3',5'-cyclic-AMP phosphodiesterase 4D",PDE4D
Q08554,DSC1 CDHF1,Desmocollin-1,DSC1
Q08623,PUDP DXF68S1E FAM16AX GS1 HDHD1 HDHD1A,Pseudouridine-5'-phosphatase,PUDP
Q08629,SPOCK1 SPOCK TIC1 TICN1,Testican-1,SPOCK1
Q08648,SPAG11B EP2 HE2,Sperm-associated antigen 11B,SPAG11B
Q08708,CD300C CMRF35 CMRF35A CMRF35A1 IGSF16,CMRF35-like molecule 6,CD300C
Q08722,CD47 MER6,Leukocyte surface antigen CD47,CD47
Q08752,PPID CYP40 CYPD,Peptidyl-prolyl cis-trans isomerase D,PPID
Q08828,ADCY1,Adenylate cyclase type 1,ADCY1
Q08830,FGL1 HFREP1,Fibrinogen-like protein 1,FGL1
Q08881,ITK EMT LYK,Tyrosine-protein kinase ITK/TSK,ITK
Q08945,SSRP1 FACT80,FACT complex subunit SSRP1,SSRP1
Q08999,RBL2 RB2,Retinoblastoma-like protein 2,RBL2
Q08AD1,CAMSAP2 CAMSAP1L1 KIAA1078,Calmodulin-regulated spectrin-associated protein 2,CAMSAP2
Q08AE8,SPIRE1 KIAA1135 SPIR1,Protein spire homolog 1,SPIRE1
Q08AG5,ZNF844,Zinc finger protein 844,ZNF844
Q08AG7,MZT1 C13orf37 MOZART1,Mitotic-spindle organizing protein 1,MZT1
Q08AH1,ACSM1 BUCS1 LAE MACS1,"Acyl-coenzyme A synthetase ACSM1, mitochondrial",ACSM1
Q08AH3,ACSM2A ACSM2 MACS2,"Acyl-coenzyme A synthetase ACSM2A, mitochondrial",ACSM2A
Q08AM6,VAC14 TAX1BP2 TRX,Protein VAC14 homolog,VAC14
Q08ET2,SIGLEC14 UNQ294/PRO333,Sialic acid-binding Ig-like lectin 14,SIGLEC14
Q08J23,NSUN2 SAKI TRM4,RNA cytosine C,NSUN2
Q09013,DMPK DM1PK MDPK,Myotonin-protein kinase,DMPK
Q09019,DMWD DM9,Dystrophia myotonica WD repeat-containing protein,DMWD
Q09028,RBBP4 RBAP48,Histone-binding protein RBBP4,RBBP4
Q09161,NCBP1 CBP80 NCBP,Nuclear cap-binding protein subunit 1,NCBP1
Q09327,MGAT3 GGNT3,"Beta-1,4-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase",MGAT3
Q09328,MGAT5 GGNT5,"Alpha-1,6-mannosylglycoprotein 6-beta-N-acetylglucosaminyltransferase A",MGAT5
Q09428,ABCC8 HRINS SUR SUR1,ATP-binding cassette sub-family C member 8,ABCC8
Q09470,KCNA1,Potassium voltage-gated channel subfamily A member 1,KCNA1
Q09472,EP300 P300,Histone acetyltransferase p300,EP300
Q09666,AHNAK PM227,Neuroblast differentiation-associated protein AHNAK,AHNAK
Q09FC8,ZNF415,Zinc finger protein 415,ZNF415
Q0D2H9,GOLGA8DP GOLGA8D,Putative golgin subfamily A member 8D,GOLGA8DP
Q0D2I5,IFFO1 IFFO,Non-homologous end joining factor IFFO1,IFFO1
Q0D2K0,NIPAL4 ICHN NIPA4,Magnesium transporter NIPA4,NIPAL4
Q0D2K3,RIPPLY1,Protein ripply1,RIPPLY1
Q0GE19,SLC10A7 C4orf13 P7 PSEC0051,Sodium/bile acid cotransporter 7,SLC10A7
Q0IIM8,TBC1D8B,TBC1 domain family member 8B,TBC1D8B
Q0JRZ9,FCHO2,F-BAR domain only protein 2,FCHO2
Q0P5N6,ARL16,ADP-ribosylation factor-like protein 16,ARL16
Q0PNE2,ELP6 ATP1 C3orf75 TMEM103,Elongator complex protein 6,ELP6
Q0VAK6,LMOD3,Leiomodin-3,LMOD3
Q0VAM2,RASGEF1B GPIG4,Ras-GEF domain-containing family member 1B,RASGEF1B
Q0VAQ4,SMAGP,Small cell adhesion glycoprotein,SMAGP
Q0VD83,APOBR APOB48R,Apolipoprotein B receptor,APOBR
Q0VD86,INCA1 HSD45,Protein INCA1,INCA1
Q0VDD7,BRME1 C19orf57,Break repair meiotic recombinase recruitment factor 1,BRME1
Q0VDD8,DNAH14 C1orf67,Dynein axonemal heavy chain 14,DNAH14
Q0VDF9,HSPA14 HSP60 HSP70L1,Heat shock 70 kDa protein 14,HSPA14
Q0VF96,CGNL1 JACOP KIAA1749,Cingulin-like protein 1,CGNL1
Q0VG06,FAAP100 C17orf70,Fanconi anemia core complex-associated protein 100,FAAP100
Q0VG99,MESP2 BHLHC6 SCDO2,Mesoderm posterior protein 2,MESP2
Q0VGL1,LAMTOR4 C7orf59,Ragulator complex protein LAMTOR4,LAMTOR4
Q0WX57,USP17L24 USP17 USP17H USP17I USP17J USP17K USP17L USP17M; USP17L25; USP17L26; USP17L27; USP17L28; USP17L29; USP17L30,Ubiquitin carboxyl-terminal hydrolase 17-like protein 24,USP17L24
Q0ZGT2,NEXN,Nexilin,NEXN
Q0ZLH3,PJVK DFNB59,Pejvakin,PJVK
Q10469,MGAT2,"Alpha-1,6-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase",MGAT2
Q10471,GALNT2,Polypeptide N-acetylgalactosaminyltransferase 2,GALNT2
Q10472,GALNT1,Polypeptide N-acetylgalactosaminyltransferase 1,GALNT1
Q10567,AP1B1 ADTB1 BAM22 CLAPB2,AP-1 complex subunit beta-1,AP1B1
Q10570,CPSF1 CPSF160,Cleavage and polyadenylation specificity factor subunit 1,CPSF1
Q10571,MN1,Transcriptional activator MN1,MN1
Q10586,DBP,D site-binding protein,DBP
Q10587,TEF KIAA1655,Thyrotroph embryonic factor,TEF
Q10588,BST1,ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 2,BST1
Q10589,BST2,Bone marrow stromal antigen 2,BST2
Q10713,PMPCA INPP5E KIAA0123 MPPA,Mitochondrial-processing peptidase subunit alpha,PMPCA
Q10981,FUT2 SEC2,Galactoside alpha-,FUT2
Q11128,FUT5,4-galactosyl-N-acetylglucosaminide 3-alpha-L-fucosyltransferase FUT5,FUT5
Q11130,FUT7,Alpha-,FUT7
Q11201,ST3GAL1 SIAT4 SIAT4A,"CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,3-sialyltransferase 1",ST3GAL1
Q11203,ST3GAL3 SIAT6,"CMP-N-acetylneuraminate-beta-1,4-galactoside alpha-2,3-sialyltransferase",ST3GAL3
Q11206,ST3GAL4 CGS23 NANTA3 SIAT4C STZ,"CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,3-sialyltransferase 4",ST3GAL4
Q12756,KIF1A ATSV C2orf20,Kinesin-like protein KIF1A,KIF1A
Q12765,SCRN1 KIAA0193,Secernin-1,SCRN1
Q12767,TMEM94 KIAA0195,Endoplasmic reticulum magnesium-transporting P-type ATPase,TMEM94
Q12768,WASHC5 KIAA0196,WASH complex subunit 5,WASHC5
Q12769,NUP160 KIAA0197 NUP120,Nuclear pore complex protein Nup160,NUP160
Q12770,SCAP KIAA0199 PSEC0227,Sterol regulatory element-binding protein cleavage-activating protein,SCAP
Q12772,SREBF2 BHLHD2 SREBP2,Sterol regulatory element-binding protein 2,SREBF2
Q12774,ARHGEF5 TIM,Rho guanine nucleotide exchange factor 5,ARHGEF5
Q12778,FOXO1 FKHR FOXO1A,Forkhead box protein O1,FOXO1
Q12788,TBL3 SAZD,Transducin beta-like protein 3,TBL3
Q12789,GTF3C1,General transcription factor 3C polypeptide 1,GTF3C1
Q12791,KCNMA1 KCNMA SLO,Calcium-activated potassium channel subunit alpha-1,KCNMA1
Q12792,TWF1 PTK9,Twinfilin-1,TWF1
Q12794,HYAL1 LUCA1,Hyaluronidase-1,HYAL1
Q12797,ASPH BAH,Aspartyl/asparaginyl beta-hydroxylase,ASPH
Q12798,CETN1 CEN1 CETN,Centrin-1,CETN1
Q12800,TFCP2 LSF SEF,Alpha-globin transcription factor CP2,TFCP2
Q12802,AKAP13 BRX HT31 LBC,A-kinase anchor protein 13,AKAP13
Q12805,EFEMP1 FBLN3 FBNL,EGF-containing fibulin-like extracellular matrix protein 1,EFEMP1
Q12809,KCNH2 ERG ERG1 HERG,Potassium voltage-gated channel subfamily H member 2,KCNH2
Q12815,TROAP,Tastin,TROAP
Q12816,TRO KIAA1114 MAGED3,Trophinin,TRO
Q12824,SMARCB1 BAF47 INI1 SNF5L1,SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily B member 1,SMARCB1
Q12830,BPTF FAC1 FALZ,Nucleosome-remodeling factor subunit BPTF,BPTF
Q12834,CDC20,Cell division cycle protein 20 homolog,CDC20
Q12836,ZP4 ZPB,Zona pellucida sperm-binding protein 4,ZP4
Q12837,POU4F2 BRN3B,"POU domain, class 4, transcription factor 2",POU4F2
Q12840,KIF5A NKHC1,Kinesin heavy chain isoform 5A,KIF5A
Q12841,FSTL1 FRP,Follistatin-related protein 1,FSTL1
Q12846,STX4 STX4A,Syntaxin-4,STX4
Q12849,GRSF1,G-rich sequence factor 1,GRSF1
Q12851,MAP4K2 GCK RAB8IP,Mitogen-activated protein kinase kinase kinase kinase 2,MAP4K2
Q12852,MAP3K12 ZPK,Mitogen-activated protein kinase kinase kinase 12,MAP3K12
Q12857,NFIA KIAA1439,Nuclear factor 1 A-type,NFIA
Q12860,CNTN1,Contactin-1,CNTN1
Q12864,CDH17,Cadherin-17,CDH17
Q12866,MERTK MER,Tyrosine-protein kinase Mer,MERTK
Q12870,TCF15 BHLHA40 BHLHEC2,Transcription factor 15,TCF15
Q12873,CHD3,Chromodomain-helicase-DNA-binding protein 3,CHD3
Q12874,SF3A3 SAP61,Splicing factor 3A subunit 3,SF3A3
Q12879,GRIN2A NMDAR2A,"Glutamate receptor ionotropic, NMDA 2A",GRIN2A
Q12882,DPYD,Dihydropyrimidine dehydrogenase [NADP,DPYD
Q12884,FAP,Prolyl endopeptidase FAP,FAP
Q12887,COX10,"Protoheme IX farnesyltransferase, mitochondrial",COX10
Q12888,TP53BP1,TP53-binding protein 1,TP53BP1
Q12889,OVGP1 MUC9 OGP,Oviduct-specific glycoprotein,OVGP1
